name,price,amount,price_per_amount,country_origin,additional_info,category,time,BIO,price per 100g/pice,Swiss_product,retailer,main_category,sub_category
"Schweizer Rockit Äpfel 400g, SUISSE GARANTIE",1.99,400 g,0.50/100g,Ursprungsland: Schweiz,"Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: l",obst/äpfel-&-birnen,2024-11-01 17:16:36,False,0.5,True,aldi,obst,äpfel-&-birnen
"Schweizer Äpfel Foodtainer 800g, SUISSE GARANTIE",2.29,800 g,2.86/1kg,Ursprungsland: Schweiz,"Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: I",obst/äpfel-&-birnen,2024-11-01 17:16:37,False,0.286,True,aldi,obst,äpfel-&-birnen
"RETOUR AUX SOURCES BIO Schweizer Äpfel 750g, SUISSE GARANTIE",4.29,750 g,5.72/100g,Ursprungsland: Schweiz,"Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: I 
Bio-Zertifizierungsstelle des Herstellers: CH-BIO-006",obst/äpfel-&-birnen,2024-11-01 17:16:37,True,5.72,True,aldi,obst,äpfel-&-birnen
"RETOUR AUX SOURCES BIO Schweizer Birnen 500g, SUISSE GARANTIE",2.99,500 g,0.60/100g,Ursprungsland: Schweiz,"Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: I 
Bio-Zertifizierungsstelle des Herstellers: CH-BIO-006",obst/äpfel-&-birnen,2024-11-01 17:16:38,True,0.6,True,aldi,obst,äpfel-&-birnen
"Schweizer Birnen 1kg, SUISSE GARANTIE",1.99,1 kg,1.99/1kg,Ursprungsland: Schweiz,"Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: I",obst/äpfel-&-birnen,2024-11-01 17:16:38,False,0.199,True,aldi,obst,äpfel-&-birnen
"Schweizer Äpfel rot 2.5kg, SUISSE GARANTIE",3.95,2.5 kg,1.58/1kg,Ursprungsland: Schweiz,"Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: II",obst/äpfel-&-birnen,2024-11-01 17:16:39,False,0.158,True,aldi,obst,äpfel-&-birnen
"Schweizer Äpfel rot 1kg, SUISSE GARANTIE",2.79,1 kg,2.79/1kg,Ursprungsland: Schweiz,"Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: I",obst/äpfel-&-birnen,2024-11-01 17:16:39,False,0.279,True,aldi,obst,äpfel-&-birnen
Banane pro Stück,0.21,1 Stück,0.21/Stk./pc./pz.,Ursprungsland: Ecuador,"Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: I",obst/exotische-früchte,2024-11-01 17:16:40,False,0.21,False,aldi,obst,exotische-früchte
Kiwis rot pro Packung,1.99,1 Packung,1.99/Stk./pc./pz.,Ursprungsland: Italien,"Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: I",obst/exotische-früchte,2024-11-01 17:16:41,False,1.99,False,aldi,obst,exotische-früchte
Passionsfrucht pro Stück,0.49,1 Stück,0.49/Stk./pc./pz.,Ursprungsland: Kolumbien,"Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: I",obst/exotische-früchte,2024-11-01 17:16:42,False,0.49,False,aldi,obst,exotische-früchte
